from,to
1-NFDI-Neuro,1-GHGA
1-NFDI-Neuro,1-NFDI4Health
1-NFDI-Neuro,2-DataPLANT
1-NFDI-Neuro,2-NFDI4BioDiversity
1-NFDI-Neuro,2-NFDI4Earth
1-NFDI-Neuro,2-NFDI4Microbiota
1-NFDI-Neuro,3-NFDI4Culture
1-NFDI-Neuro,4-NFDI4Ing
1-NFDI4Immuno,1-GHGA
1-NFDI4Immuno,1-NFDI4Health
1-NFDI4Immuno,2-NFDI4Agri
1-NFDI4Immuno,2-NFDI4Microbiota
2-NFDI4Agri,1-NFDI4Health
2-NFDI4Agri,1-NFDI4Immuno
2-NFDI4Agri,2-DataPLANT
2-NFDI4Agri,2-NFDI4BioDiversity
2-NFDI4Agri,2-NFDI4Earth
2-NFDI4Agri,2-NFDI4Microbiota
2-NFDI4Agri,3-KonsortSWD
2-NFDI4Earth,1-GHGA
2-NFDI4Earth,1-NFDI4Health
2-NFDI4Earth,2-DataPLANT
2-NFDI4Earth,2-NFDI4Agri
2-NFDI4Earth,2-NFDI4BioDiversity
2-NFDI4Earth,3-KonsortSWD
2-NFDI4Earth,3-NFDI4Culture
2-NFDI4Earth,3-NFDI4Objects
2-NFDI4Earth,4-NFDI4Ing
2-NFDI4Earth,5-NFDI4Cat
2-NFDI4Earth,5-NFDI4Chem
2-NFDI4Microbiota,1-GHGA
2-NFDI4Microbiota,1-NFDI4Health
2-NFDI4Microbiota,1-NFDI4Immuno
2-NFDI4Microbiota,2-DataPLANT
2-NFDI4Microbiota,2-NFDI4Agri
2-NFDI4Microbiota,2-NFDI4BioDiversity
2-NFDI4Microbiota,4-NFDI4DataScience
2-NFDI4Microbiota,4-NFDI4Ing
2-NFDI4Microbiota,5-NFDI4Chem
3-BERD@NFDI,3-KonsortSWD
3-BERD@NFDI,3-NFDI4Memory
3-BERD@NFDI,3-Text+
3-BERD@NFDI,4-MaRDI
3-NFDI4Memory,3-BERD@NFDI
3-NFDI4Memory,3-KonsortSWD
3-NFDI4Memory,3-NFDI4Culture
3-NFDI4Memory,3-NFDI4Objects
3-NFDI4Memory,3-Text+
3-NFDI4Memory,4-MaRDI
3-NFDI4Objects,2-NFDI4Agri
3-NFDI4Objects,2-NFDI4BioDiversity
3-NFDI4Objects,2-NFDI4Earth
3-NFDI4Objects,3-KonsortSWD
3-NFDI4Objects,3-NFDI4Culture
3-NFDI4Objects,3-NFDI4Memory
3-NFDI4Objects,3-Text+
3-NFDI4SD,3-NFDI4Culture
3-NFDI4SD,3-NFDI4Memory
3-NFDI4SD,3-NFDI4Objects
3-NFDI4SD,4-NFDI4DataScience
3-Text+,2-NFDI4BioDiversity
3-Text+,2-NFDI4Earth
3-Text+,3-KonsortSWD
3-Text+,3-NFDI4Culture
3-Text+,3-NFDI4Memory
3-Text+,3-NFDI4Objects
3-Text+,4-NFDI4Ing
4-MaRDI,1-NFDI-Neuro
4-MaRDI,3-BERD@NFDI
4-MaRDI,4-NFDI4Ing
4-MaRDI,4-NFDI4MatWerk
4-MaRDI,5-FAIRmat
4-MaRDI,5-NFDI4Cat
4-MaRDI,5-NFDI4Chem
4-MaRDI,5-PUNCH4NFDI
4-NFDI4DataScience,1-NFDI4Health
4-NFDI4DataScience,2-NFDI4BioDiversity
4-NFDI4DataScience,2-NFDI4Microbiota
4-NFDI4DataScience,3-KonsortSWD
4-NFDI4DataScience,3-NFDI4Culture
4-NFDI4DataScience,4-MaRDI
4-NFDI4DataScience,4-NFDI4Ing
4-NFDI4DataScience,4-NFDI4MatWerk
4-NFDI4DataScience,4-NFDIxCS
4-NFDI4DataScience,5-NFDI4Cat
4-NFDI4DataScience,5-NFDI4Chem
4-NFDI4MatWerk,2-DataPLANT
4-NFDI4MatWerk,4-MaRDI
4-NFDI4MatWerk,4-NFDI4DataScience
4-NFDI4MatWerk,4-NFDI4Ing
4-NFDI4MatWerk,4-NFDIxCS
4-NFDI4MatWerk,5-DAPHNE4NFDI
4-NFDI4MatWerk,5-FAIRmat
4-NFDI4MatWerk,5-NFDI4Chem
4-NFDIxCS,2-NFDI4Earth
4-NFDIxCS,4-MaRDI
4-NFDIxCS,4-NFDI4DataScience
4-NFDIxCS,4-NFDI4Ing
4-NFDIxCS,5-FAIRmat
4-NFDIxCS,5-NFDI4Chem
5-DAPHNE4NFDI,1-NFDI4Health
5-DAPHNE4NFDI,3-NFDI4Objects
5-DAPHNE4NFDI,4-NFDI4Ing
5-DAPHNE4NFDI,4-NFDI4MatWerk
5-DAPHNE4NFDI,5-FAIRmat
5-DAPHNE4NFDI,5-NFDI4Cat
5-DAPHNE4NFDI,5-NFDI4Chem
5-DAPHNE4NFDI,5-PUNCH4NFDI
5-FAIRmat,2-DataPLANT
5-FAIRmat,4-MaRDI
5-FAIRmat,4-NFDI4DataScience
5-FAIRmat,4-NFDI4Ing
5-FAIRmat,4-NFDI4MatWerk
5-FAIRmat,4-NFDIxCS
5-FAIRmat,5-DAPHNE4NFDI
5-FAIRmat,5-NFDI4Cat
5-FAIRmat,5-NFDI4Chem
5-FAIRmat,5-PUNCH4NFDI
5-PUNCH4NFDI,1-GHGA
5-PUNCH4NFDI,2-NFDI4Earth
5-PUNCH4NFDI,4-MaRDI
5-PUNCH4NFDI,4-NFDI4Ing
5-PUNCH4NFDI,4-NFDIxCS
5-PUNCH4NFDI,5-DAPHNE4NFDI
5-PUNCH4NFDI,5-FAIRmat